id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2613744733,35,2613744733,0.0,1.0,1.0,0.0,0.0,4350166.0,0.16671,2613744732.980448,2613744732.980448,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2026-07-17T10:00:24.751Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.91,2486007488,36,2486007585,201419724.0,2.08,1.89,-0.09921380616616693,-4.93453,-134258632.71989965,-5.12385,1301094364.0,1301094415.0,,20.44,-90.67892,2022-01-16T22:09:45.873Z,0.526762,261.65337,2020-11-04T16:09:15.137Z,,2026-07-17T10:09:26.442Z
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/logo.png?1774627372,3994.45,2447962096,37,2827139619,203471798.0,4032.89,3974.57,-28.94328328019037,-0.71938,-17561614.086196423,-0.71229,612823.659532,707747.089,,5504.62,-27.40529,2026-01-29T00:00:00.000Z,1447.84,176.00123,2020-03-19T13:45:41.821Z,,2026-07-17T10:09:26.555Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,4.13e-06,2432050034,38,2433109502,52461048.0,4.17e-06,4.08e-06,-3.4456069702e-08,-0.82755,-21423359.066707134,-0.87318,589242927499427.9,589499617995835.4,,8.616e-05,-95.20747,2021-10-28T03:54:55.568Z,5.6366e-11,7325520.53216,2020-11-28T11:26:25.838Z,,2026-07-17T10:09:26.922Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,3.52,2202489206,39,3143034794,167506478.0,3.73,3.49,-0.16067956456080923,-4.3644,-102257415.80938959,-4.43682,625553561.5538775,892688420.0329479,1000000000.0,44.92,-92.1651,2021-05-03T05:25:04.822Z,1.03,241.62159,2020-09-17T01:20:38.214Z,,2026-07-17T10:09:27.210Z
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,https://coin-images.coingecko.com/coins/images/31700/large/usdy_%281%29.png?1696530524,1.13,2151326790,40,2151924227,2097740.0,1.14,1.13,-0.004053630728462654,-0.35592,-9100576.34484768,-0.42124,1895683646.331802,1896210090.176432,,1.26,-10.18058,2024-03-27T05:24:08.110Z,0.934184,21.43869,2024-01-14T11:40:50.825Z,,2026-07-17T10:09:11.363Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,192.44,1846589101,41,4040469652,109781019.0,197.61,188.88,-2.7201137211514492,-1.39378,-29993427.07999158,-1.5983,9597491.0,21000000.0,21000000.0,757.6,-74.65834,2024-03-07T18:45:36.466Z,30.83,522.73725,2023-05-14T08:57:53.732Z,,2026-07-17T10:09:26.044Z
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.056956,1808878009,42,5692858653,24967375.0,0.058165,0.056815,-0.000864430299213494,-1.49502,-28250580.494911194,-1.53776,31774511179.0,100000000000.0,100000000000.0,0.331336,-82.8101,2025-09-01T12:20:09.597Z,0.051632,10.31127,2026-05-02T06:24:04.639Z,,2026-07-17T10:09:13.951Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.369586,1799008335,43,3694570086,244523690.0,0.391707,0.360298,-0.003839380074479204,-1.02815,-17184056.768342733,-0.94616,4869330647.0,10000000000.0,10000000000.0,2.14,-82.73087,2024-12-16T00:36:00.777Z,0.082171,349.77724,2024-01-18T12:14:30.524Z,,2026-07-17T10:09:21.646Z
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,3989.97,1791156282,44,1791156282,129203569.0,4030.35,3970.51,-32.47575203500173,-0.80736,-14481481.831434011,-0.80201,448888.537837,448888.537837,,5619.09,-28.96454,2026-01-29T06:30:56.612Z,1399.64,185.1835,2019-11-18T03:09:35.959Z,,2026-07-17T10:09:25.023Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,79.89,1677150178,45,1677150178,17437706.0,81.39,79.23,-1.426549137513888,-1.75426,-32006211.35750127,-1.87263,21000000.0,21000000.0,21000000.0,228.74,-65.12855,2025-10-05T00:00:00.000Z,0.580608,13638.14379,2019-01-14T00:00:00.000Z,,2026-07-17T10:09:24.542Z
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.614151,1646758140,46,4792864583,82822082.0,0.626559,0.610025,-0.011602823032353604,-1.85422,-34691569.66947603,-2.06319,2685531220.4697533,7816197874.516728,8000000000.0,2.41,-74.5032,2025-09-24T11:18:14.634Z,0.099713,515.91537,2025-09-17T12:05:36.771Z,,2026-07-17T10:09:18.910Z
htx-dao,htx,HTX DAO,https://coin-images.coingecko.com/coins/images/35491/large/Frame_1321318576.png?1708908626,1.81e-06,1621385241,48,1621385241,48624921.0,1.81e-06,1.8e-06,2.811e-09,0.15597,2498843.0,0.15436,898232728634017.2,898232728634017.2,999990000000000.0,3.75e-06,-51.87978,2024-12-04T00:16:20.770Z,8.00816e-07,125.4236,2024-08-05T13:31:33.427Z,,2026-07-17T10:09:21.027Z
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,1.22,1617398184,49,6582762095,13857804.0,1.23,1.2,-0.003188353404657729,-0.26013,-7482193.428789377,-0.46048,1324871828.344449,5392188600.998711,10000000000.0,4.82,-74.65317,2026-04-24T01:10:07.284Z,0.04746135,2472.9824,2025-07-04T03:56:17.448Z,,2026-07-17T10:09:14.686Z
dexe,dexe,DeXe,https://coin-images.coingecko.com/coins/images/12713/large/DEXE_token_logo.png?1696512514,34.57,1615917446,47,3335667029,112414602.0,36.12,31.47,-0.34817174895010083,-0.99722,-21173305.926011324,-1.29335,46750309.420346804,96504599.33609451,,48.85,-28.2281,2026-07-13T00:40:12.499Z,0.671563,5120.90702,2020-11-06T19:31:40.144Z,,2026-07-17T10:09:27.459Z
ripple-usd,rlusd,Ripple USD,https://coin-images.coingecko.com/coins/images/39651/large/RLUSD_200x200_%281%29.png?1727376633,1.0,1515168779,50,1515168779,97051856.0,1.001,0.999579,-1.7817434014855e-05,-0.00178,-542918.974899292,-0.03582,1515085946.000429,1515085946.000429,,1.073,-6.79171,2024-12-26T10:45:52.337Z,0.962292,3.91394,2024-12-18T04:40:40.880Z,,2026-07-17T10:09:12.690Z
